maintained by Benneke team for the TESS ACWG,,,,,,,,,,,
Date:,12-July-2020," from GTO Observing Specifications on Jdox (effective Sep 2020, added by Tom Greene)",,,,,,,,,
Date:,6-April-2021,JWST GO cycle 1 accepted programs (added by Roy and Benneke),,,,,,,,,
,,,,,,,,,,,
 1 Equilibrium temperature of planet assuming 0 albedo and 4pi str redistribution,,,,,,,,,,,
" 2 Observations should be TRANSIT for transmission spectrometry or photometry, ECLIPSE for secondary eclipse, or PHASE for phase curve",,,,,,,,,,,
,,,,,,,,,,,
Planet,Mpl (Mearth),Rpl (Rearth),Teq (K),Observation,Instrument,Mode,Comment,Program,PI / Team,GTO / GO / ERS / DDT,Data to be obtained
WASP-18 b,3636,13.5,2400,ECLIPSE,NIRISS,SOSS,Bean et al. 2018 PASP,1366,Batalha ERS,ERS,
WD 1856+534 b,2893,10.4,160,TRANSIT,NIRSpec,PRISM,"4 transits, White Dwarf host",2358,MacDonald,GO,
WD 1856+534 b,2893,10.4,160,ECLIPSE,NIRSpec,G395,1 eclipse,2507,Vanderburg,GO,
HD 80606 b,1270.0,10.3,1500,PHASE,MIRI,LRS,,2008,Kataria,GO,"Oct 31, 2022"
HD 80606 b,1270.0,10.3,1500,ECLIPSE,NIRSpec,G395H/F290LP,eclipse + periapse passage,2488,Sikora,GO,
V1298 Tau b,699,10,677,TRANSIT,NIRSpec,G395H+F290LP,1 transit,2149,Desert,GO,
NGTS-10 b,686.67,13.5,1332,PHASE,NIRSpec,PRISM,1 phase (2 eclipses + 1 transit),2158,Parmentier,GO,"Jan 30, 2023"
WASP-43 b,651,11.6,1400,PHASE,MIRI,SLITLESSPRISM,Bean et al. 2018 PASP,1366,Batalha ERS,ERS,
WASP-43 b,650,11.4,1300,PHASE,NIRSpec,G395H,"2 SE, 1 trans",1224,NIRSpec,GTO,"May14, 2023"
WASP-77 A b,560,14,1670,ECLIPSE,NIRCam,Grism + F322W2,1 SEC ECLIPSE,1274,Lunine,GTO,
WASP-77 A b,560,14,1670,ECLIPSE,NIRCam,Grism + F444W,1 SEC ECLIPSE,1274,Lunine,GTO,
WASP-178 b,448,21.3,2402,TRANSIT,NIRSpec,G395H,1 transit,2055,Lothringer,GO,
WASP-121 b,376,20.9,2350,PHASE,NIRISS,SOSS,2 planets,1201,NIRISS,GTO,"Oct 21, 2023"
WASP-121 b,376,20.9,2350,PHASE,NIRSpec,G395H,1 full phase-curve,1729,Mikal-Evans/MIT,GO,"Oct 14, 2022"
HD 189733 b,360,12.5,1190,ECLIPSE,NIRCam,Grism + F322W2,1 SEC ECLIPSE,1274,Lunine,GTO,
HD 189733 b,360,12.5,1200,ECLIPSE,NIRCam,Grism + F444W,Collab w/Lunine+Bean,1185,NIRCam+TG,GTO,
HD 189733 b,360,12.5,1200,TRANSIT,NIRCam,Grism + F444W,1 transit,1633,Deming,GO,
HD 189733 b,360,12.5,1200,TRANSIT,NIRCam,Grism + F322W2,1 transit,1633,Deming,GO,
HD 189733 b,360,12.5,1200,TRANSIT,MIRI,MRS,3 transits (1 per grating),1633,Deming,GO,
HD 189733 b,360,12.5,1200,TRANSIT,MIRI,LRS,1 transit,2001,Min,GO,
HD 189733 b,360,12.5,1200,ECLIPSE,MIRI,LRS,2 eclipses,2021,Kilpatrick/STSci,GO,
HD 209458 b,219,15,1470,TRANSIT,NIRCam,Grism + F322W2,1 SEC ECLIPSE,1274,Lunine,GTO,
HD 209458 b,219,15,1470,TRANSIT,NIRCam,Grism + F444W,1 SEC ECLIPSE,1274,Lunine,GTO,
HD 209458 b,219,15,1470,TRANSIT,MIRI,LRS,1 transit,2667,Wakeford,GO,
WASP-80 b,180,10.7,850,ECLIPSE,NIRISS,SOSS,,1201,NIRISS,GTO,
