,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,cumulative days
1,5,HIP 65 A b,HIP 65 A b,1.0,1.0,1.7553946,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.78,-0.03,0.03,4590.0,-49.0,49.0,0.72,-0.01,0.01,61.7856,-0.0804,0.0806,4.61,-0.01,0.01,Gaia DR2 4923860051276772608,8.4,8.922,8.29,11.0,10.5895,8.121,0,0.18,-0.08,0.08,[Fe/H],4.1,-2.8,4.3,K4 V,0.1856063,-54.8308228,22.75423088,6.837478246,-5.492400558,2.03,0.61,-0.49,1021.18267,24.79061571,-24.79061571,3.213,0.078,-0.078,0,1,753.7,0.9809734,14.92758838,-3.1e-06,3.1e-06,1361.757722,2660935422.0,0.017798899,0.3,2.3,6086.249957,0.5,1,84.60071945,-1.0,0.92,0.0,,,0,291.42,,,8326.10418,0.00011,-0.00011,0,8326.594667,0.0,8.2,5.8,-3.4,2,2020,Ariel,1579.0378993656027,20.110147651445928,0.0027023183736862018,0.9809734
2,228,NGTS-10 b,NGTS-10 b,37.47915723,643.5421656,1266.038606,1.589794082,12.00161979,23.26004926,Eclipse,2,12,23,1,0,1,0.7,-0.04,0.04,4600.0,-150.0,150.0,0.7,-0.04,0.04,324.6986504,-27.5222874,27.5222874,4.59,-0.02,0.02,Gaia DR2 2911987212510959232,11.878,12.392,11.728,14.506,14.2604,11.619,0,-0.02,-0.12,0.12,[M/H],10.4,-2.5,2.5,K5 V,91.8722801,-25.5948963,13.50682178,1.311450746,-0.930345401,1.205,0.117,-0.083,687.1450151,29.24021341,-34.00763951,2.162,0.092,-0.107,0,1,594.9,0.7668944,773.2834569,-3e-07,3e-07,1487.308568,2178149597.0,0.014569563,0.3,2.3,3846.293773,0.8523,1,79.01777959,,,0.0,,,0,,,,7518.84377,0.00017,-0.00017,0,7519.227217,0.0,,,,1,2020,Ariel,140.47017743441444,38.40415424682394,0.0012127036730510833,1.7478677999999999
3,201,NGTS-6 b,NGTS-6 b,8.082432153,137.6572111,270.5026842,1.083438359,8.256416127,16.03729395,Eclipse,1,8,16,1,0,1,0.77,-0.03,0.03,4730.0,-40.0,44.0,0.75,-0.01,0.01,308.262,-1.407,1.418,4.7,-0.7,1.1,Gaia DR2 4875693023844840448,11.767,12.222,11.65,14.237,13.8175,11.555,0,0.11,-0.09,0.09,[Fe/H],9.77,-0.54,0.25,,75.795382,-30.3994612,14.86310845,1.087271131,-1.255405842,1.326,0.097,-0.112,425.5722364,8.899195385,-8.899195385,1.339,0.028,-0.028,0,1,322.0,0.882059,673.4264949,-8e-07,8e-07,1487.07611,2468273678.0,0.016510192,0.3,2.3,3425.266158,0.976,1,78.231,-0.21,0.262,0.0,,,0,,,,7982.3784,0.0003,-0.0003,0,7982.819429,0.0,,,,1,2019,Ariel,148.41905346042483,19.642200435211816,0.0012028133291994297,2.6299268
4,53,WASP-19 b,WASP-19 b,1.006634681,16.83999562,33.06675657,1.0,1.0,1.983199694,Eclipse,1,1,2,0,0,0,0.97,-0.1,0.09,5616.0,-65.0,66.0,1.01,-0.03,0.03,268.325,-1.698,1.72,4.42,-0.02,0.02,Gaia DR2 5411736896952029568,10.602,10.911,10.481,12.248,12.1088,10.436,0,0.04,-0.3,0.25,[Fe/H],6.4,-3.5,4.1,G8 V,148.4167672,-45.6591078,15.86070773,0.493195152,-0.538031075,1.415,0.044,-0.048,366.7739812,24.79061571,-25.42627253,1.154,0.078,-0.08,0,1,255.4,0.78883852,144.2939349,-8.2e-07,7.5e-07,2046.376552,2474461101.0,0.016551579,0.3,2.3,5791.123312,0.6671,1,79.08,-0.37,0.34,0.0126,-0.0089,0.014,0,51.0,-190.0,89.0,6402.7128,0.0017,-0.0014,0,6403.107219,5905.658659,2.077,0.014,-0.014,1,2009,Ariel,215.65483425302887,14.865842889716317,0.00105867465728013,3.41876532
5,27,WASP-12 b,WASP-12 b,1.0,8.462711808,16.60250054,1.0,1.0,1.108532458,Eclipse,1,1,1,0,0,0,1.43,-0.11,0.11,6360.0,-140.0,140.0,1.66,-0.05,0.05,427.246,-5.903,6.068,4.16,-0.01,0.01,Gaia DR2 3435282862461427072,10.228,10.477,10.188,11.569,11.4999,10.111,0,0.07,-0.07,0.07,[Fe/H],2.0,-2.0,0.7,,97.636645,29.6722662,21.71179568,0.627702921,-0.627702921,1.937,0.056,-0.056,465.6186157,25.10844412,-25.10844412,1.465,0.079,-0.079,0,1,226.4,1.09142,69.49588939,-1.4e-07,1.4e-07,2499.272484,3496803790.0,0.023389992,0.3,2.3,10809.21964,0.339,1,83.52,-0.03,0.03,0.0447,-0.0043,0.0043,0,272.7,-1.3,2.4,6594.6816,4e-05,-4e-05,0,6595.22731,9885.205733,1.389,0.013,-0.013,1,2008,Ariel,197.26459760433963,10.071055580741815,0.0008852530575624798,4.51018532
6,280,HATS-18 b,HATS-18 b,40.15871521,707.6970174,1387.952825,1.999365947,19.73510659,38.6574807,Eclipse,2,20,39,1,0,1,1.04,-0.05,0.05,5600.0,-120.0,120.0,1.02,-0.03,0.06,624.368,-15.366,16.147,4.44,-0.03,0.03,Gaia DR2 3483636295772522880,12.382,12.736,12.289,14.188,13.8786,12.29,0,0.28,-0.08,0.08,[Fe/H],4.2,-2.2,2.2,G V,173.9574203,-29.1560639,14.89673539,0.840673555,-0.840673555,1.329,0.075,-0.075,629.1413309,24.1549589,-24.1549589,1.9795,0.076,-0.076,0,1,415.2,0.83784,1006.55224,-4.7e-07,4.7e-07,1986.634393,2636431468.0,0.017634993,0.3,2.3,6881.016712,0.3,1,85.29,-0.013,0.013,0.0,,,1,,,,7089.90598,0.00026,-0.00026,0,7090.3249,0.0,,,,1,2016,Ariel,77.8697211533104,28.90694217742345,0.0008590439964529964,5.34802532
7,40,WASP-43 b,WASP-43 b,5.657418306,92.99417097,183.5153365,1.0,1.0,1.565496491,Eclipse,1,1,2,0,0,0,0.58,,0.05,4400.0,,200.0,0.6,,0.04,86.7467,-0.3257,0.3281,4.49,-0.1,0.13,Gaia DR2 3767805209112436736,9.397,9.995,9.267,12.305,11.907,9.152,0,-0.01,-0.15,0.15,[Fe/H],7.0,-7.0,7.0,K7 V,154.9081869,-9.8064431,10.42435208,0.784628651,-1.008808266,0.93,0.07,-0.09,651.5482335,15.89142033,-16.52707714,2.05,0.05,-0.052,0,1,551.7,0.813475,105.5239153,-1e-06,1e-06,1332.594418,2127829300.0,0.014232972,0.3,2.3,4113.012309,0.689,1,82.6,-0.9,1.3,0.0,,,0,90.0,,,5528.86774,0.00014,-0.00014,0,5529.274478,0.0,2.55,0.12,-0.12,1,2011,Ariel,308.4006977221149,61.134247869608366,0.0008530816801637044,6.16150032
8,86,TrES-3 b,TrES-3 b,3.402999408,57.15917041,112.2415906,1.0,2.13198523,4.191452909,Eclipse,1,2,4,0,0,0,0.93,,0.05,5650.0,,75.0,0.83,,0.02,231.337,-1.288,1.303,4.57,-0.01,0.01,Gaia DR2 4609131509318715136,10.655,11.015,10.608,12.362,12.1995,10.568,0,-0.2,-0.07,0.07,[Fe/H],1.0,0.0,0.5,G4 V,268.0291106,37.5463268,14.97519826,0.347478403,-0.414732287,1.336,0.031,-0.037,572.4089603,24.79061571,-26.37975775,1.801,0.078,-0.083,0,1,348.5,1.30618581,241.8237486,,,1588.648337,3415038496.0,0.022843067,0.3,2.3,4996.763834,0.8277,1,81.85,-0.16,0.16,0.0,,,0,270.5,-0.32,0.38,4185.9104,,,0,4186.563493,0.0,2.739,0.067,-0.067,1,2007,Ariel,179.45919290484676,26.025399574922595,0.000788434866168401,7.46768613
9,70,Qatar-2 b,Qatar-2 b,6.420293162,105.9741418,208.5249048,1.0,1.688966277,3.286060058,Eclipse,1,2,3,0,0,0,0.74,-0.02,0.02,4645.0,-50.0,50.0,0.78,-0.01,0.01,181.374,-1.203,1.218,4.53,-0.01,0.01,Gaia DR2 3620030644476623616,10.794,11.35,10.619,13.443,13.0276,10.563,0,0.02,-0.08,0.08,[m/H],5.0,,,,207.6554928,-6.8040714,14.05606184,0.14571675,-0.14571675,1.254,0.013,-0.013,783.7648507,19.70536121,-19.70536121,2.466,0.062,-0.062,0,1,560.9,1.33711647,197.1598981,-2.6e-07,2.6e-07,1305.049779,3214312116.0,0.021500415,0.3,2.3,7242.356128,0.115,1,86.12,-0.08,0.08,0.0,,,0,,,,5624.267096,8.7e-05,-8.7e-05,0,5624.935654,0.0,3.3335,0.0041,-0.004,1,2011,Ariel,160.4015693576675,40.447772428778975,0.0007852881321319734,8.8048026
10,54,WASP-103 b,WASP-103 b,1.555504348,25.71306614,50.47089168,1.0,1.020585962,2.032264301,Eclipse,1,1,2,0,0,0,1.22,-0.04,0.04,6110.0,-160.0,160.0,1.44,-0.03,0.05,375.647,,,4.22,-0.05,0.12,Gaia DR2 4439085988769170432,10.857,11.1,10.767,12.402,12.1931,10.72,0,0.06,-0.13,0.13,[Fe/H],4.0,-1.0,1.0,F8 V,249.3148604,7.1833758,17.12732256,0.818255593,-0.526822094,1.528,0.073,-0.047,462.4403316,28.60455659,-28.922385,1.455,0.09,-0.091,0,1,268.0,0.925542,145.2194769,-1.9e-05,1.9e-05,2425.974311,2971314878.0,0.019875016,0.3,2.3,9599.822445,0.19,1,86.3,-2.7,2.7,0.0,,,1,,,,6459.59957,0.00075,-0.00075,0,6460.062341,0.0,1.195,0.042,-0.038,1,2014,Ariel,125.57879399863702,16.073590299307856,0.0007516268381245262,9.7303446
