Planet Name,Eff. Temp (K),K Magnitude,Radius (R_oplus),Equil. Temp (K),Maximum Tier,Preferred Method
55Cnce,5196,4.01,1.87,1997,2,Transit
CoRoT-10b,5075,11.78,10.64,685,1,Transit
CoRoT-11b,6440,11.25,15.69,1771,2,Eclipse
CoRoT-19b,6090,11.84,14.16,1697,2,Eclipse
CoRoT-2b,5625,10.31,16.09,1582,3,Eclipse
CoRoT-23b,5900,12.36,11.52,1679,2,Eclipse
CoRoT-28b,5150,11.03,10.48,1395,1,Eclipse
CoRoT-3b,6740,11.62,11.08,1737,1,Eclipse
EPIC211945201b,6069,8.84,5.64,913,1,Transit
EPIC246851721b,6202,9.89,11.53,1434,2,Transit
GJ1132b,3270,8.32,1.16,636,2,Transit
GJ1214b,3026,8.78,2.79,627,3,Transit
GJ3470b,3600,7.99,4.48,698,2,Transit
GJ436b,3475,6.07,4.08,681,3,Transit
GJ9827b,4269,7.19,1.59,1198,1,Transit
GJ9827d,4269,7.19,2.03,695,1,Transit
HAT-P-1b,5980,8.86,14.47,1353,3,Eclipse
HAT-P-11b,4780,7.01,4.27,848,2,Transit
HAT-P-12b,4650,10.11,10.52,979,2,Transit
HAT-P-13b,5653,8.98,13.96,1685,2,Eclipse
HAT-P-14b,6600,8.85,15.58,1601,2,Eclipse
HAT-P-15b,5568,9.64,11.63,917,2,Eclipse
HAT-P-16b,6158,9.55,14.14,1664,3,Eclipse
HAT-P-17b,5246,8.54,11.52,793,2,Transit
HAT-P-18b,4803,10.23,10.92,867,2,Transit
HAT-P-19b,4990,10.55,12.42,1032,2,Transit
HAT-P-20b,4595,8.6,9.51,990,3,Transit
HAT-P-21b,5588,10.11,12.18,1303,2,Transit
HAT-P-22b,5302,7.84,12.62,1307,3,Eclipse
HAT-P-23b,5905,10.79,11.96,2094,2,Eclipse
HAT-P-24b,6373,10.54,14.27,1672,2,Eclipse
HAT-P-25b,5519,10.82,12.45,1209,2,Eclipse
HAT-P-26b,5079,9.58,6.91,1013,2,Transit
HAT-P-27b,5300,10.11,11.19,1236,2,Eclipse
HAT-P-28b,5680,11.1,13.3,1412,2,Eclipse
HAT-P-29b,6087,10.3,12.84,1285,2,Eclipse
HAT-P-3b,5185,9.45,10.31,1184,2,Eclipse
HAT-P-30b,6304,9.15,15.8,1675,3,Eclipse
HAT-P-31b,6065,10.08,11.96,1408,2,Transit
HAT-P-32b,6207,9.99,19.2,1823,3,Eclipse
HAT-P-33b,6446,10,20.3,1816,3,Eclipse
HAT-P-34b,6442,9.25,14.81,1333,2,Eclipse
HAT-P-36b,5560,10.6,12.62,1858,2,Eclipse
HAT-P-37b,5500,11.67,12.93,1306,2,Eclipse
HAT-P-38b,5330,10.5,9.05,1101,1,Transit
HAT-P-39b,6430,11.16,17.24,1789,2,Eclipse
HAT-P-4b,5860,9.77,13.98,1472,2,Eclipse
HAT-P-40b,6080,10.01,16.68,1805,2,Eclipse
HAT-P-41b,6390,9.73,22.5,1981,3,Eclipse
HAT-P-42b,5743,10.63,14.05,1460,2,Eclipse
HAT-P-43b,5645,11.76,14.06,1386,2,Eclipse
HAT-P-44b,5295,11.28,13.63,1130,2,Transit
HAT-P-45b,6330,10.2,15.65,1686,2,Eclipse
HAT-P-46b,6120,9.92,14.09,1488,2,Eclipse
HAT-P-49b,6820,9.35,17.45,2171,3,Eclipse
HAT-P-5b,5960,10.48,13.28,1569,2,Eclipse
HAT-P-50b,6280,10.5,14.13,1897,2,Eclipse
HAT-P-51b,5449,11.61,14.19,1216,2,Transit
HAT-P-52b,5131,11.62,11.07,1241,2,Eclipse
HAT-P-53b,5956,12.1,14.46,1818,2,Eclipse
HAT-P-54b,4390,10.33,10.36,839,2,Eclipse
HAT-P-55b,5808,11.63,12.97,1342,2,Eclipse
HAT-P-56b,6566,9.83,16.57,1880,2,Eclipse
HAT-P-57b,6330,9.43,19.09,1895,3,Eclipse
HAT-P-6b,6570,9.31,16.24,1706,3,Eclipse
HAT-P-65b,5835,11.53,20.74,1974,2,Eclipse
HAT-P-66b,6002,11.68,17.45,1944,2,Eclipse
HAT-P-67b,6406,8.9,22.88,1967,3,Transit
HAT-P-7b,6389,9.33,16.57,2272,3,Eclipse
HAT-P-8b,6200,8.95,15.36,1809,3,Eclipse
HAT-P-9b,6350,11.02,15.36,1565,2,Eclipse
HATS-1b,5870,10.58,14.29,1399,2,Eclipse
HATS-10b,5880,11.51,10.63,1435,1,Eclipse
HATS-11b,6563,12.24,17.66,1783,2,Eclipse
HATS-12b,6357,11.39,7.59,1614,1,Transit
HATS-13b,5523,11.98,13.3,1276,2,Eclipse
HATS-17b,5846,10.7,8.53,832,1,Transit
HATS-2b,5227,11.39,12.82,1614,2,Eclipse
HATS-22b,4803,10.94,10.46,877,2,Transit
HATS-24b,6346,11.38,16.32,2121,2,Eclipse
HATS-25b,5715,11.42,13.83,1307,2,Eclipse
