,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Tier 2 Emission
0,0,HAT-P-32 b,HAT-P-32 b,1.0,1.0,1.657981718,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.13,-0.05,0.05,6001.0,-88.0,88.0,1.37,-0.03,0.03,289.205,-5.167,5.355,4.22,-0.04,0.04,Gaia DR2 356348286886230272,10.024,10.251,9.99,11.439,11.1335,9.902,0,-0.16,-0.08,0.08,[Fe/H],2.7,-0.8,0.8,,31.0427614,46.6878512,22.19378185,0.504404133,-0.504404133,1.98,0.045,-0.045,216.1233165,34.96112473,-31.78284066,0.68,0.11,-0.1,0,1,99.0,2.1500082,2.1500082,-1.3e-07,1.3e-07,1777.378359,5080239714.0,0.033981537,0.3,2.3,12802.4963,0.083,1,88.98,-0.85,0.68,0.159,-0.028,0.051,0,50.0,-18.0,27.0,5867.402743,4.9e-05,-4.9e-05,0,5868.477747,16353.75933,2.216,0.017,-0.016,1,2011,Ariel,214.62472669012644,4.473785336494847,12.626748701800599,1
1,1,HAT-P-70 b,HAT-P-70 b,5.916417541,86.25254725,169.0209027,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.89,-0.01,0.01,8450.0,-690.0,540.0,1.86,-0.09,0.12,330.739,-6.552,6.818,4.18,-0.06,0.06,Gaia DR2 3291455819447952768,9.023,9.068,8.963,9.47,9.45174,8.941,0,-0.059,-0.088,0.075,[Fe/H],0.6,-0.2,0.38,,74.5523332,9.9979794,20.96079397,1.68134711,-1.120898073,1.87,0.15,-0.1,2154.876597,0.0,0.0,6.78,0.0,0.0,1,0,0.0,2.74432452,4.89433272,-6.8e-07,7.9e-07,2467.441219,7095922962.0,0.047464368,0.3,2.3,12528.47884,-0.629,1,96.5,-0.91,1.42,0.0,,,0,,,,8439.57519,0.00045,-0.00037,0,8440.947352,0.0,0.8443,,,1,2019,Ariel,183.05402294912443,50.0084150436849,8.967247576968767,1
2,2,HD 189733 b,HD 189733 b,1.0,1.0,1.213407685,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.79,-0.08,0.08,5052.0,-16.0,16.0,0.75,-0.01,0.01,19.7638,-0.0127,0.0128,4.49,-0.05,0.05,Gaia DR2 1827242816201846144,5.587,6.073,5.541,7.67,7.41432,5.289,0,-0.02,,,[Fe/H],1.4,-1.9,4.9,K2 V,300.1821223,22.7097759,12.66614823,0.112089807,-0.112089807,1.13,0.01,-0.01,370.5879221,16.52707714,-15.57359192,1.166,0.052,-0.049,0,1,208.0,2.21857567,7.11290839,-1.5e-07,1.5e-07,1162.930605,4604224671.0,0.030797489,0.3,2.3,6544.78771,0.6636,1,85.71,0.0,0.0,0.0,,,0,20.0,-50.0,37.0,3955.525551,9e-06,-9e-06,0,3956.634839,0.0,2.4,0.0058,-0.0058,1,2005,Ariel,1063.0232002215917,23.55256836030353,61.44583679593408,1
3,3,HD 202772 A b,HD 202772 A b,1.0,3.928940044,7.517633582,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.72,-0.07,0.06,6272.0,-71.0,77.0,2.59,-0.09,0.08,161.498,-2.388,2.459,3.85,-0.03,0.03,Gaia DR2 6790773586275235200,7.048,7.232,6.959,8.324,8.22688,6.882,0,0.3,-0.06,0.06,[Fe/H],1.7,-0.26,0.32,,319.6995877,-26.6163743,17.31787523,0.582866998,-0.672538844,1.545,0.052,-0.06,323.2314895,22.24798846,-21.61233165,1.017,0.07,-0.068,0,1,96.4,3.308958,10.42186639,-8.3e-05,8.3e-05,2062.654694,7789955294.0,0.052106724,0.3,2.3,20841.44518,0.403,1,84.51,-0.82,1.1,0.038,-0.027,0.042,0,98.0,-52.0,65.0,8338.61047,0.00024,-0.00024,0,8340.264949,22471.31233,0.3755,0.01,-0.0099,2,2019,Ariel,175.99058042329696,10.989061272897965,9.24353027917098,1
4,4,HD 209458 b,HD 209458 b,1.0,1.0,1.0,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.23,-0.09,0.09,6091.0,-10.0,10.0,1.19,-0.02,0.02,48.3016,-0.1234,0.124,4.45,-0.02,0.02,Gaia DR2 1779546757669063552,6.366,6.591,6.308,7.65,7.50866,6.308,0,0.01,,,[Fe/H],3.1,-0.7,0.8,G0 V,330.7950219,18.8842419,15.58048322,0.224179615,-0.224179615,1.39,0.02,-0.02,216.7589733,4.449597692,-4.767426099,0.682,0.014,-0.015,0,1,84.27,3.52474859,13.94661498,-3.8e-07,3.8e-07,1405.91027,7265828019.0,0.048600856,0.3,2.3,11050.66673,0.507,1,86.71,-0.05,0.05,0.0,,,0,0.0,0.0,0.0,1659.93742,2e-05,-2e-05,0,1661.699794,0.0,1.5,0.0024,-0.0024,1,1999,Ariel,509.5210349991608,9.10440112300741,27.75595360045761,1
5,5,HIP 65 A b,HIP 65 A b,1.0,1.0,1.7553946,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.78,-0.03,0.03,4590.0,-49.0,49.0,0.72,-0.01,0.01,61.7856,-0.0804,0.0806,4.61,-0.01,0.01,Gaia DR2 4923860051276772608,8.4,8.922,8.29,11.0,10.5895,8.121,0,0.18,-0.08,0.08,[Fe/H],4.1,-2.8,4.3,K4 V,0.1856063,-54.8308228,22.75423088,6.837478246,-5.492400558,2.03,0.61,-0.49,1021.18267,24.79061571,-24.79061571,3.213,0.078,-0.078,0,1,753.7,0.9809734,14.92758838,-3.1e-06,3.1e-06,1361.757722,2660935422.0,0.017798899,0.3,2.3,6086.249957,0.5,1,84.60071945,-1.0,0.92,0.0,,,0,291.42,,,8326.10418,0.00011,-0.00011,0,8326.594667,0.0,8.2,5.8,-3.4,2,2020,Ariel,1579.0378993656027,20.110147651445928,96.35935476565137,1
6,6,MASCARA-1 b,MASCARA-1 b,3.29491431,29.60186667,57.7178329,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.72,-0.07,0.07,7554.0,-150.0,150.0,2.1,-0.2,0.2,182.273,-1.922,1.963,4.0,,,Gaia DR2 1744911763437512064,7.749,7.819,7.74,8.28,8.24243,7.658,0,0.0,,,[Fe/H],1.0,-0.2,0.2,A8,317.5515264,10.7388967,16.8134711,3.362694219,-3.362694219,1.5,0.3,-0.3,1175.965104,286.0455659,-286.0455659,3.7,0.9,-0.9,0,1,0.0,2.14878,17.07636838,-8e-06,8e-06,2583.193818,5841648628.0,0.039074573,0.3,2.3,15767.8035,0.2,1,87.0,-3.0,2.0,0.0,,,0,,,,7097.278,0.002,-0.002,0,7098.35239,0.0,,,,1,2017,Ariel,196.16314209532223,42.41464295609102,11.762077547968811,1
7,7,MASCARA-4 b,MASCARA-4 b,1.815875919,16.68995543,32.57849245,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.75,-0.05,0.05,7800.0,-200.0,200.0,1.92,-0.11,0.11,170.696,-0.928,0.938,4.1,-0.05,0.05,Gaia DR2 5245968236116294016,7.785,7.837,7.75,8.191,8.17401,7.627,0,0.0,,,[Fe/H],0.8,,,A7 V,147.5800667,-66.1139253,17.14974052,0.784628651,-0.448359229,1.53,0.07,-0.04,985.2680604,286.0455659,-286.0455659,3.1,0.9,-0.9,0,1,0.0,2.82406,19.90042838,-3e-05,3e-05,2321.685164,7049526418.0,0.047154023,0.3,2.3,15206.56976,0.34,1,88.5,-0.01,0.01,0.0,,,0,,,,8505.817,0.003,-0.003,0,8507.22903,0.0,,,,1,2020,Ariel,201.87680935190616,34.15666353997999,11.07473553896832,1
8,8,TOI-1431 b,TOI-1431 b,2.610499483,26.63203444,52.29960489,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.9,-0.08,0.1,7690.0,-250.0,400.0,1.92,-0.07,0.07,148.925,-1.02,1.034,4.15,-0.04,0.04,Gaia DR2 2188906825165621120,7.452,7.541,7.439,8.03,7.97561,7.335,0,0.09,-0.03,0.03,[Fe/H],0.29,-0.19,0.32,Am C,316.2036922,55.5880221,16.70138129,0.560449037,-0.560449037,1.49,0.05,-0.05,991.6246286,57.20911319,-57.20911319,3.12,0.18,-0.18,0,1,294.1,2.650237,22.55066538,-3e-06,3e-06,2306.103917,6945001151.0,0.046454857,0.3,2.3,8768.184461,0.881,1,80.13,-0.13,0.13,0.0022,-0.0016,0.003,0,108.0,-31.0,92.0,8739.17737,7e-05,-7e-05,0,8740.502489,8804.953165,0.5797,0.0007,-0.0007,2,2021,Ariel,222.3696448358407,36.24755076186719,12.095085556504504,1
9,9,TOI-1518 b,TOI-1518 b,1.0,8.501980082,16.87927251,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.79,-0.26,0.26,7300.0,-100.0,100.0,1.95,-0.05,0.05,225.888,-1.666,1.69,4.1,-0.2,0.2,Gaia DR2 2210596444367488384,8.384,8.429,8.325,8.952,8.89529,8.270001,0,-0.1,-0.12,0.12,[Fe/H],,,,F0,352.2675207,67.0348062,21.01683887,0.594075979,-0.594075979,1.875,0.053,-0.053,731.0053352,0.0,0.0,2.3,0.0,0.0,1,0,0.0,1.902603,24.45326838,-1.1e-05,1.1e-05,2488.500269,5458597956.0,0.036512361,0.3,2.3,8159.357671,0.9036,1,77.84,-0.26,0.23,0.0,,,1,,,,8787.049255,9.4e-05,-9.4e-05,0,8788.000556,0.0,0.911,0.000414,-0.000414,1,2021,Ariel,268.0552138121467,16.87414984631513,15.497101903447096,1
