,Unnamed: 0.1,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Tier1_SNR,Tier1 Transit S/N,Tier2_SNR,Tier2 Transit S/N,Tier3_SNR,Tier3 Transit S/N,cumulative transit [days],N cumulative transit [days]
1,350,350,K2-141 c,K2-141 c,1.0,1.0,1.0,6.277097614,46.09100343,91.41320048,Transit,1,1,1,0,0,0,0.71,-0.03,0.03,4599.0,-79.0,79.0,0.68,-0.02,0.02,61.8736,-0.1654,0.1662,4.62,-0.03,0.02,Gaia DR2 2643952940813536768,8.524,9.086,8.401,11.454,10.7217,8.311,0,-0.06,-0.1,0.08,[Fe/H],6.3,-4.7,6.6,K7 V,350.9170464,-1.1891827,6.994403976,4.5956821,-2.802245183,0.624,0.41,-0.25,7.399045306,0.0,0.0,0.02328,0.0,0.0,1,0,0.0,7.7485,1309.517619,-0.00022,0.00022,720.1851074,10228120933.0,0.068415525,0.1,2.3,9593.821339,0.5,1,88.67521158,-2.0,1.6,0.0,,,0,90.0,,,7751.1546,0.001,-0.001,0,7755.02885,0.0,,,,1,2018,Ariel,40.11068778,1.542092433,3.370680046,2.80274137,75.04072306,0.702984898,19.03289455,0.497048936,13.45749225,0.33311879649305554,0.33311879649305554
2,18,18,KELT-11 b,KELT-11 b,1.0,1.0,1.0,1.0,1.0,1.0,Transit,1,1,1,0,0,0,1.44,-0.07,0.07,5375.0,-25.0,25.0,2.69,-0.04,0.04,99.1596,-0.52105,0.52105,3.7,-0.1,0.1,Gaia DR2 3761497761876022400,6.251,6.616,6.122,8.04,7.83112,6.152,0,0.17,-0.07,0.07,[Fe/H],,,,G8/K0 IV,161.7069053,-9.3993646,15.13212399,1.120898073,-1.120898073,1.35,0.1,-0.1,54.34865753,4.767426099,-4.767426099,0.171,0.015,-0.015,0,1,0.0,4.7361,45.47610389,-3e-05,3e-05,1646.55533,9324653866.0,0.062372267,0.3,2.3,25534.76868,0.404,1,85.3,-0.2,0.2,0.0007,-0.0005,0.002,0,-1.0,-74.6,147.4,7483.431,0.0007,-0.0007,0,7485.79905,0.0,0.265,0.035,-0.038,1,2017,Ariel,154.8677036,2.420054703,8.565491928,43.26356953,72.10517038,10.77289423,18.26312149,7.617747264,12.91315314,1.2197427089930555,1.2197427089930555
3,206,206,WASP-107 b,WASP-107 b,1.0,1.0,1.0,1.11799682,8.300111312,16.99464679,Transit,1,1,1,0,0,0,0.68,-0.02,0.02,4425.0,-70.0,70.0,0.67,-0.02,0.02,64.7414,-0.2596,0.2617,4.63,-0.01,0.01,Gaia DR2 3578638842054261248,8.777,9.378,8.637,11.592,11.174,8.575,0,0.02,-0.09,0.09,[Fe/H],3.4,-0.7,0.7,K6,188.3864277,-10.1462141,10.53644189,0.224179615,-0.224179615,0.94,0.02,-0.02,30.51152703,1.589142033,-1.589142033,0.096,0.005,-0.005,0,1,14.1,5.7214742,693.1340222,,,719.8118081,8236440776.0,0.055093249,0.3,2.3,10116.38788,0.139,1,89.56,-0.078,0.078,0.06,-0.04,0.04,0,40.0,-60.0,40.0,7584.329746,1.1e-05,-1.1e-05,0,7587.190483,10928.01267,2.5549,0.000131,-0.000131,1,2017,Ariel,88.06109447,2.802283924,7.595106403,8.122571185,64.17175203,2.038262772,16.28234367,1.441198489,11.51268875,1.571006177048611,1.571006177048611
4,58,58,WASP-127 b,WASP-127 b,1.0,1.0,1.0,1.0,1.147439651,2.275262516,Transit,1,1,1,0,0,0,0.95,-0.02,0.02,5620.0,-85.0,85.0,1.33,-0.03,0.03,159.507,-1.191,1.21,4.18,-0.01,0.01,Gaia DR2 3778075717162985600,8.738,9.092,8.641,10.148,10.054,8.621,0,-0.193,-0.014,0.014,[M/H],11.41,-1.8,1.8,,160.5587646,-3.8349989,14.69497374,0.280224518,-0.325060441,1.311,0.025,-0.029,52.34633857,6.801527901,-5.466648593,0.1647,0.0214,-0.0172,0,1,22.0,4.17806203,161.1741223,-5.3e-07,8.8e-07,1352.816831,7466592285.0,0.049943761,0.3,2.3,15166.83018,0.29,1,87.84,-0.33,0.36,0.0,,,0,,,,6776.62124,0.00023,-0.00028,0,6778.710271,0.0,1.021,0.005,-0.01,1,2016,Ariel,127.2489857,2.471637782,6.766675763,23.1311718,56.22348563,5.755082782,14.23554616,4.069511247,10.06539717,2.0976322249652775,2.0976322249652775
5,4,4,HD 209458 b,HD 209458 b,1.0,1.0,1.0,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.23,-0.09,0.09,6091.0,-10.0,10.0,1.19,-0.02,0.02,48.3016,-0.1234,0.124,4.45,-0.02,0.02,Gaia DR2 1779546757669063552,6.366,6.591,6.308,7.65,7.50866,6.308,0,0.01,,,[Fe/H],3.1,-0.7,0.8,G0 V,330.7950219,18.8842419,15.58048322,0.224179615,-0.224179615,1.39,0.02,-0.02,216.7589733,4.449597692,-4.767426099,0.682,0.014,-0.015,0,1,84.27,3.52474859,13.94661498,-3.8e-07,3.8e-07,1405.91027,7265828019.0,0.048600856,0.3,2.3,11050.66673,0.507,1,86.71,-0.05,0.05,0.0,,,0,0.0,0.0,0.0,1659.93742,2e-05,-2e-05,0,1661.699794,0.0,1.5,0.0024,-0.0024,1,1999,Ariel,509.521035,9.104401123,27.7559536,86.01971568,55.83958995,21.3558297,14.13004148,15.10098852,9.990779231,2.481335930868055,2.481335930868055
6,36,36,HAT-P-67 b,HAT-P-67 b,1.0,1.0,1.0,1.0,1.0,1.372572717,Transit,1,1,1,0,0,0,1.64,-0.07,0.15,6406.0,-61.0,65.0,2.55,-0.08,0.1,371.686,-3.497,3.563,3.85,-0.02,0.01,Gaia DR2 1358614983131339392,8.961,9.145001,8.9,10.106,9.97496,8.856,0,-0.08,-0.05,0.05,[Fe/H],1.24,-0.22,0.27,,256.6107279,44.7768849,23.37072482,1.07606215,-0.795837632,2.085,0.096,-0.071,108.0616582,79.45710165,-60.38739725,0.34,0.25,-0.19,0,1,36.0,4.8101025,96.61950033,-3.3e-07,4.3e-07,1860.033202,9838951426.0,0.065812384,0.3,2.3,25853.09549,0.12,1,88.8,-1.3,1.1,0.0,,,0,,,,5961.38467,0.00076,-0.00064,0,5963.789721,0.0,,,,1,2017,Ariel,112.88937,2.017267111,5.911188386,34.8498458,47.91546241,8.638177077,12.12074217,6.108208515,8.570075392,3.3790128576041663,3.3790128576041663
7,51,51,WASP-69 b,WASP-69 b,1.0,1.0,1.0,1.0,1.0,1.956398575,Transit,1,1,1,0,0,0,0.98,-0.14,0.14,4700.0,-50.0,50.0,0.86,-0.03,0.03,49.9605,-0.1313,0.132,4.5,-0.15,0.15,Gaia DR2 6910753016653587840,7.543,8.032,7.459,9.873,9.48466,7.315,0,0.15,,,[Fe/H],7.0,-7.0,7.0,K5,315.0259661,-5.094857,12.44196861,0.448359229,-0.448359229,1.11,0.04,-0.04,82.63538571,5.879825522,-5.879825522,0.26,0.0185,-0.0185,0,1,38.1,3.86814,141.0397963,-2e-06,2e-06,928.6051758,7166516875.0,0.047936568,0.3,2.3,8008.496814,0.686,1,86.71,-0.2,0.2,0.0,,,0,90.0,,,7176.17789,0.00017,-0.00017,0,7178.11196,0.0,1.8,0.042,-0.042,1,2014,Ariel,220.9954087,5.442820351,15.07050117,22.69029918,47.16913252,5.683850129,11.96122667,4.019111687,8.457358049,3.657085663645833,3.657085663645833
8,2,2,HD 189733 b,HD 189733 b,1.0,1.0,1.213407685,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.79,-0.08,0.08,5052.0,-16.0,16.0,0.75,-0.01,0.01,19.7638,-0.0127,0.0128,4.49,-0.05,0.05,Gaia DR2 1827242816201846144,5.587,6.073,5.541,7.67,7.41432,5.289,0,-0.02,,,[Fe/H],1.4,-1.9,4.9,K2 V,300.1821223,22.7097759,12.66614823,0.112089807,-0.112089807,1.13,0.01,-0.01,370.5879221,16.52707714,-15.57359192,1.166,0.052,-0.049,0,1,208.0,2.21857567,7.11290839,-1.5e-07,1.5e-07,1162.930605,4604224671.0,0.030797489,0.3,2.3,6544.78771,0.6636,1,85.71,0.0,0.0,0.0,,,0,20.0,-50.0,37.0,3955.525551,9e-06,-9e-06,0,3956.634839,0.0,2.4,0.0058,-0.0058,1,2005,Ariel,1063.0232,23.55256836,61.4458368,114.4812036,38.27137463,28.58665387,9.698577854,20.21416066,6.857504554,3.8843352369097217,4.1115848101736105
9,326,326,AU Mic b,AU Mic b,1.0,1.363524543,2.301135939,20.53383495,40.45154108,71.19229732,Transit,1,1,2,0,0,0,0.5,-0.03,0.03,3700.0,-100.0,100.0,0.75,-0.03,0.03,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,4.068860005,0.168134711,-0.168134711,0.363,0.015,-0.015,17.00064147,4.999440836,-4.999440836,0.05349,0.01573,-0.01573,0,1,8.5,8.463,1193.547166,-2e-06,2e-06,626.4279341,9650967990.0,0.06455497,0.1,2.3,13016.35933,0.18,1,89.5,-0.3,0.3,0.0,,,0,,,,8330.39051,0.00015,-0.00015,0,8334.62201,0.0,,,,2,2020,Ariel,58.88061063,10.47022362,6.123976635,4.348291946,32.06564015,1.092627861,8.152131231,0.772511504,5.764130831,4.336292158090277,5.015498652534721
10,0,0,HAT-P-32 b,HAT-P-32 b,1.0,1.0,1.657981718,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.13,-0.05,0.05,6001.0,-88.0,88.0,1.37,-0.03,0.03,289.205,-5.167,5.355,4.22,-0.04,0.04,Gaia DR2 356348286886230272,10.024,10.251,9.99,11.439,11.1335,9.902,0,-0.16,-0.08,0.08,[Fe/H],2.7,-0.8,0.8,,31.0427614,46.6878512,22.19378185,0.504404133,-0.504404133,1.98,0.045,-0.045,216.1233165,34.96112473,-31.78284066,0.68,0.11,-0.1,0,1,99.0,2.1500082,2.1500082,-1.3e-07,1.3e-07,1777.378359,5080239714.0,0.033981537,0.3,2.3,12802.4963,0.083,1,88.98,-0.85,0.68,0.159,-0.028,0.051,0,50.0,-18.0,27.0,5867.402743,4.9e-05,-4.9e-05,0,5868.477747,16353.75933,2.216,0.017,-0.016,1,2011,Ariel,214.6247267,4.473785336,12.6267487,49.60138056,31.64809895,12.31452828,8.009293259,8.707837292,5.663048403,4.780823279618055,5.9045608955902775
