,Planet Name,Tier 3 Eclipses,Tier 3 Transits,Planet Period [days],Transit Duration [s],cumulative transit time [days]
1,HAT-P-67 b,1.372572717,1.0,4.8101025,25853.09549,0.8976769267361111
2,WASP-69 b,1.956398575,1.0,3.86814,8008.496814,1.1757497327777777
3,WASP-127 b,2.275262516,1.0,4.17806203,15166.83018,1.7023757806944442
4,HD 209458 b,1.0,1.0,3.52474859,11050.66673,2.086079486597222
5,KELT-11 b,1.0,1.0,4.7361,25534.76868,2.9727033990972216
6,HD 189733 b,1.0,1.213407685,2.21857567,6544.78771,3.199952972361111
7,HAT-P-32 b,1.0,1.657981718,2.1500082,12802.4963,3.644484093888889
8,HIP 65 A b,1.0,1.7553946,0.9809734,6086.249957,3.8558122173958327
9,WASP-76 b,1.0,2.069376856,1.809886,13517.1962,4.32515930767361
10,WASP-20 b,4.338214779,2.089444002,4.8996284,12264.6735,4.751016026423611
11,WASP-94 A b,2.096502509,2.155616764,3.95019,14165.84998,5.242885817395833
12,KELT-9 b,1.0,3.47511354,1.4811235,14066.71499,5.731313421215278
13,WASP-177 b,4.411207617,3.936767072,3.071722,5837.618745,5.934008516527778
14,HAT-P-41 b,1.48076437,4.152780595,2.69405,14811.65187,6.448301984236112
15,WASP-80 b,3.271208712,4.203009447,3.06785234,7760.79195,6.717773926944445
16,WASP-189 b,1.0,4.206662087,2.724033,16418.59337,7.28786397451389
17,HAT-P-60 b,1.870859317,4.228534353,4.7947813,18164.20283,7.918565461666667
18,WASP-33 b,1.0,4.373788659,1.21987,9739.03043,8.256726240486111
19,WASP-101 b,3.000246681,4.374926821,3.58572,9754.435574,8.59542192013889
20,WASP-54 b,1.722928153,4.645354846,3.69364,16987.88861,9.185279163541669
21,KELT-4 A b,1.015967247,5.307241214,2.9895932,12360.62887,9.614467665972224
22,WASP-62 b,2.748543331,5.347051552,4.41195,13797.76799,10.09355683229167
23,KELT-8 b,1.023996312,5.437006312,3.24406,12640.16236,10.532451358680559
24,WASP-121 b,1.0,5.50232336,1.27492504,10604.8743,10.900676160763894
25,HAT-P-1 b,3.729626044,5.670496568,4.46529976,9933.862987,11.245601958923617
26,WASP-79 b,1.574161185,5.832246842,3.66238,14173.70867,11.737744621076395
27,HAT-P-33 b,3.500823441,6.271274053,3.47447,15404.19447,12.272612484618062
28,KELT-7 b,1.0,6.449688055,2.73477,12560.84499,12.708752935659728
29,WASP-52 b,4.046550963,6.642235087,1.7497798,6525.944438,12.93534822864584
30,KELT-23 A b,1.0,6.833156343,2.255251,8589.016708,13.233577975451393
31,KELT-10 b,2.863612629,7.062465322,4.1662739,13480.47478,13.701650016423615
32,HD 202772 A b,1.0,7.517633582,3.308958,20841.44518,14.425311307395837
33,WASP-74 b,1.005684288,8.60795269,2.13775,8246.422994,14.71164543913195
34,KELT-20 b,1.0,8.934502053,3.4741085,12753.34816,15.154470028020837
35,WASP-15 b,4.739708111,9.480944786,3.7521,13748.56223,15.631850661006947
36,WASP-178 b,1.879806757,11.79428038,3.3448285,12472.51912,16.064924241562505
37,WASP-35 b,3.63896308,11.97044592,3.16158,11050.70927,16.448629424548614
38,WASP-13 b,4.84910193,12.61890419,4.35301,15062.59662,16.97163625163195
39,HAT-P-30 b,3.494751172,12.90495003,2.8106,7458.084444,17.230597517048615
40,HD 149026 b,4.139646438,13.41649987,2.87589,10352.78008,17.59006904760417
41,KELT-17 b,1.145122254,13.5693898,3.0801716,12477.62364,18.023319868437504
42,WASP-82 b,1.236883747,14.88973374,2.70579,18081.12426,18.651136683020837
43,XO-7 b,3.620987508,15.5765886,2.8641424,10251.00367,19.007074310451394
44,KELT-14 b,1.237604168,15.5931641,1.7100566,7899.037423,19.281346443194447
