,Unnamed: 0.1,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Tier1_SNR,Tier1 Transit S/N,Tier2_SNR,Tier2 Transit S/N,Tier3_SNR,Tier3 Transit S/N,cumulative days
1,421,421,HD 219134 b,HD 219134 b,5.512084313,25.37292834,46.54246392,92.75429654,320.8561222,538.7056565,Transit,6,25,47,0,0,0,0.81,-0.03,0.03,4699.0,-16.0,16.0,0.78,-0.01,0.01,6.53127,-0.00385,0.00384,4.57,-0.02,0.02,Gaia DR2 2009481748875806976,3.469,3.981,3.261,5.56911,5.2402,,0,0.11,-0.04,0.04,[Fe/H],11.0,-2.2,2.2,K3 V,348.3372026,57.1696255,1.602884245,0.056044904,-0.056044904,0.143,0.005,-0.005,4.738821542,0.190697044,-0.190697044,0.01491,0.0006,-0.0006,0,1,2.381,3.092926,1797.491195,-1e-05,1e-05,983.3417771,5793922375.0,0.038755334,0.3,2.3,3410.81116,0.9245,1,85.05,-0.09,0.09,0.0,,,0,0.0,,,7126.69913,0.00087,-0.00087,0,7128.245593,0.0,0.0358,0.0024,-0.0024,1,2015,Ariel,34.9217407,18.80624883,2.310929706,2.472343369,10.24915647,0.619078983,2.599003268,0.437760175,1.837662806,3.171879962037037
2,414,414,TOI-431 b,TOI-431 b,5.139979211,61.88523227,121.7545444,26.44758814,199.9126087,390.9984999,Transit,5,62,122,0,0,0,0.78,-0.07,0.07,4850.0,-75.0,75.0,0.73,-0.02,0.02,32.5686,-0.0311,0.0312,4.6,-0.06,0.06,Gaia DR2 2908664557091200768,6.846,7.305,6.723,9.12,8.79171,6.651,0,0.2,-0.05,0.05,[Fe/H],,,,,83.2692502,-26.7238698,1.277823803,0.044835923,-0.044835923,0.114,0.004,-0.004,3.070222408,0.349611247,-0.349611247,0.00966,0.0011,-0.0011,0,1,2.88,0.490047,1744.426162,-7e-06,1e-05,1825.985174,1675282315.0,0.011205902,0.3,2.3,3967.805574,0.34,1,84.3,-1.3,1.1,0.0,,,0,0.0,,,8627.538,0.003,-0.002,0,8627.783024,0.0,0.030162,0.001499,-0.001499,2,2021,Ariel,15.15689031,19.17185048,0.969796749,1.889899511,3.515774227,0.472582907,0.891276527,0.334178382,0.630189327,3.7537743132870367
3,416,416,HD 3167 b,HD 3167 b,8.165717138,98.58330077,192.0818306,32.72370074,240.3812072,469.7176085,Transit,8,99,192,0,0,0,0.88,-0.02,0.02,5438.0,-63.0,63.0,0.83,-0.03,0.03,47.2899,-0.1475,0.1485,4.6,-0.1,0.1,Gaia DR2 2554032474712538880,7.203,7.548,7.066,8.97,8.76221,6.942,0,-0.1,-0.1,0.1,[Fe/H],5.0,-4.0,4.0,K0 V,8.7401487,4.3807215,1.602884245,0.089671846,-0.078462865,0.143,0.008,-0.007,5.590601672,0.978911492,-0.959841788,0.01759,0.00308,-0.00302,0,1,4.08,0.959622,1751.653684,-4.4e-05,4.4e-05,1710.225966,2729767556.0,0.018259315,0.3,2.3,5690.529994,0.11,1,90.2,-6.0,7.0,0.0,,,0,,,,7410.69248,0.001,-0.00091,0,7411.172291,0.0,0.0294,,,1,2016,Ariel,12.38828686,22.18658061,0.693859671,1.696337075,2.797724028,0.422316565,0.708553904,0.298629547,0.500991148,4.845121544629629
4,428,428,LHS 3844 b,LHS 3844 b,1.0,11.15603654,22.2629622,32.23231949,335.8059589,646.0769402,Transit,1,11,22,1,0,1,0.15,-0.01,0.01,3036.0,-77.0,77.0,0.19,-0.01,0.01,14.8846,-0.0113,0.0113,5.06,-0.01,0.01,Gaia DR2 6385548541499112448,9.477,10.046,9.145001,15.24,13.3925,8.944,0,,,,,,,,M5,340.4962038,-69.1721081,1.300241765,0.022417961,-0.022417961,0.116,0.002,-0.002,2.250225119,0.0,0.0,0.00708,0.0,0.0,1,0,0.0,0.46292913,1817.674513,-1.9e-06,1.9e-06,782.2536742,930975115.6,0.006227258,0.3,2.3,1897.818107,0.186,1,88.5,-0.51,0.51,0.0,,,0,,,,8325.72558,0.00025,-0.00025,0,8325.957045,0.0,0.448991,0.017391,-0.017391,2,2019,Ariel,26.55913172,13.57106369,2.635035061,1.433423671,8.838445826,0.362030199,2.252753004,0.255993807,1.592867675,5.351981649328703
5,427,427,GJ 367 b,GJ 367 b,1.321829092,12.12830691,23.79329383,48.10282604,335.3557182,644.4113631,Transit,1,12,24,0,0,0,0.45,-0.01,0.01,3522.0,-70.0,70.0,0.46,-0.01,0.01,9.41263,-0.002835,0.002835,4.78,-0.03,0.03,Gaia DR2 5412250540681250560,6.045,6.632,5.78,10.153,9.15159,,0,-0.01,-0.12,0.12,[Fe/H],,,,M1.0 V,146.121464,-45.7790165,0.717374767,0.056044904,-0.056044904,0.064,0.005,-0.005,0.546664859,0.079457102,-0.079457102,0.00172,0.00025,-0.00025,0,1,0.798,0.321962,1817.211584,-1.2e-05,1e-05,1327.049329,1053995028.0,0.007050134,0.3,2.3,2316.901399,0.55,1,80.75,-0.64,0.64,0.0,,,0,,,,8544.1348,0.0004,-0.0004,0,8544.295781,0.0,0.0212,0.0042,-0.0042,2,2021,Ariel,16.28024479,10.83091403,1.278857655,1.403844854,8.432688624,0.354226811,2.145159634,0.250487312,1.516781866,5.727575626157407
6,426,426,GJ 9827 b,GJ 9827 b,4.905498694,61.73341318,122.1885175,41.32397262,337.3284776,642.2498967,Transit,5,62,122,0,0,0,0.61,-0.01,0.02,4340.0,-53.0,40.0,0.6,0.0,0.01,29.661,-0.0541,0.0543,4.66,-0.01,0.01,Gaia DR2 2643842302456085888,7.379,7.984,7.193,10.37,9.83773,6.99,0,-0.26,-0.09,0.09,[m/H],10.0,,,K6 V,351.7717763,-1.2853435,1.580466283,0.022417961,-0.033626942,0.141,0.002,-0.003,4.891379177,0.429068349,-0.419533497,0.01539,0.00135,-0.00132,0,1,4.1,1.2089819,1816.889622,-7.14e-06,6.93e-06,1142.158053,2818087395.0,0.018850083,0.3,2.3,4518.533458,0.4602,1,86.07,-0.34,0.41,0.0,,,0,,,,7738.82586,0.00026,-0.00026,0,7739.430351,0.0,0.0586,0.0019,-0.0023,1,2017,Ariel,14.04386941,19.96627296,0.888787702,1.301194833,3.443918504,0.326118682,0.874000335,0.230606437,0.617976172,7.041153208055555
7,272,272,55 Cnc e,55 Cnc e,3.237076249,13.63167887,24.71331722,5.204019289,18.42934283,33.27030963,Transit,3,14,25,0,0,0,0.91,-0.01,0.01,5172.0,-18.0,18.0,0.94,-0.01,0.01,12.5855,-0.0123,0.0124,4.43,-0.02,0.02,Gaia DR2 704967037090946688,4.265,4.768,4.015,5.95084,5.72973,4.001,0,0.35,-0.1,0.1,[Fe/H],10.2,-2.5,2.5,G8 V,133.1468373,28.3298154,1.871899782,0.033626942,-0.033626942,0.167,0.003,-0.003,7.739121701,0.368680952,-0.298758702,0.02435,0.00116,-0.00094,0,1,6.0,0.7365474,966.8518676,-1.4e-06,1.3e-06,1880.057222,2314082889.0,0.015478815,0.3,2.3,5448.370778,0.39,1,83.59,-0.44,0.47,0.05,-0.03,0.03,0,86.0,-33.4,30.7,7063.2096,0.0006,-0.0004,0,7063.577874,6020.413103,0.038,0.0052,-0.0052,1,2004,Ariel,66.0969549,22.51970166,4.074633455,9.773980873,11.10797074,2.43926485,2.814371469,1.724876091,1.989936305,7.90382030199074
8,354,354,K2-266 b,K2-266 b,1.547878995,24.96115025,49.30225101,5.758484612,48.56946385,95.77604841,Transit,2,25,49,0,0,0,0.69,-0.03,0.03,4285.0,-57.0,49.0,0.7,-0.02,0.02,77.5586,-0.3549,0.3581,4.58,-0.04,0.03,Gaia DR2 3855246074629979264,9.041,9.611,8.897,11.625,11.3527,8.815,0,-0.12,-0.42,0.4,[Fe/H],,,,,157.9356855,0.9372782,3.295440335,1.804645898,-1.300241765,0.294,0.161,-0.116,11.26701701,0.0,0.0,0.03545,0.0,0.0,1,1,0.0,0.658524,1329.838433,-1.7e-05,1.7e-05,1461.13458,1958373010.0,0.013099485,0.3,2.3,4158.270981,0.5,1,82.85960653,-0.7,0.62,0.0,,,0,,,,7949.6747,0.0032,-0.0032,0,7950.003962,0.0,0.18,0.25,-0.12,1,2018,Ariel,32.6060039,10.57835624,2.064308443,3.526434623,5.402755067,0.884156287,1.371296422,0.625213441,0.969597895,8.658600574699072
9,409,409,HR 858 b,HR 858 b,4.100048858,16.89142799,30.53544863,54.13753915,181.0289811,327.637816,Transit,4,17,31,0,0,0,1.15,-0.08,0.07,6201.0,-50.0,50.0,1.31,-0.02,0.02,31.964,-0.072,0.0722,4.26,-0.04,0.03,Gaia DR2 5064574720469473792,5.225,5.473,5.149,6.38,6.25276,5.098,0,-0.14,-0.08,0.08,[Fe/H],,,,F6 V,42.9849779,-30.8140609,2.084870416,0.067253884,-0.067253884,0.186,0.006,-0.006,4.989905984,0.0,0.0,0.0157,0.0,0.0,1,0,0.0,3.58599,1717.406912,-0.00015,0.00015,1509.965895,7186817931.0,0.048072361,0.3,2.3,10338.67702,0.59,1,85.5,-0.5,1.5,0.0,,,1,,,,8409.18969,0.00084,-0.00083,0,8410.982685,0.0,0.0213,0.001,-0.001,2,2019,Ariel,14.21281178,11.70497185,0.757127495,2.431443993,8.3839425,0.603125271,2.121270479,0.426477768,1.4998637,12.483911802013887
10,415,415,pi Men c,pi Men c,3.563479173,10.90473094,18.73405097,104.1081821,248.6651192,422.9288752,Transit,4,11,19,0,0,0,1.09,-0.04,0.04,6037.0,-45.0,45.0,1.1,-0.02,0.02,18.2702,-0.0226,0.0226,4.42,-0.03,0.03,Gaia DR2 4623036865373793408,4.424,4.869,4.241,5.65,5.5128,4.269,0,0.08,-0.03,0.03,[Fe/H],2.98,-1.3,1.4,G0 V,84.2992798,-80.4646041,2.040034493,0.044835923,-0.044835923,0.182,0.004,-0.004,4.821456928,0.839066993,-0.861314982,0.01517,0.00264,-0.00271,0,1,1.58,6.2679,1750.694062,-0.00046,0.00046,1128.309313,10243652842.0,0.068519417,0.3,2.3,10671.30851,0.59,1,87.456,-0.076,0.085,0.0,,,0,,,,8325.504,0.0012,-0.00074,0,8328.63795,0.0,0.03,,,2,2018,Ariel,17.81062696,11.81243453,0.963565465,2.283586068,12.63777516,0.568429419,3.198150321,0.401943665,2.261282852,18.99883283233796
